,chr,start,end,strand,gene_id,gene_type,gene_name
115,chr1,9539465,9585173,+,ENSG00000171612.7,protein_coding,SLC25A33
116,chr1,9588911,9614877,+,ENSG00000188807.13,protein_coding,TMEM201
117,chr1,9629889,9729114,+,ENSG00000171608.18,protein_coding,PIK3CD
118,chr1,9728926,9823984,-,ENSG00000171603.18,protein_coding,CLSTN1
119,chr1,9848276,9910336,-,ENSG00000178585.15,protein_coding,CTNNBIP1
120,chr1,9922113,9943407,-,ENSG00000162441.12,protein_coding,LZIC
121,chr1,9943428,9985501,+,ENSG00000173614.14,protein_coding,NMNAT1
122,chr1,9997206,10016021,+,ENSG00000162444.12,protein_coding,RBP7
123,chr1,10032832,10181239,+,ENSG00000130939.20,protein_coding,UBE4B
124,chr1,10210570,10381603,+,ENSG00000054523.20,protein_coding,KIF1B
125,chr1,10398592,10420511,+,ENSG00000142657.21,protein_coding,PGD
126,chr1,10430102,10452153,+,ENSG00000251503.8,protein_coding,CENPS-CORT
127,chr1,10430433,10442808,+,ENSG00000175279.22,protein_coding,CENPS
128,chr1,10450031,10451998,+,ENSG00000241563.4,protein_coding,CORT
129,chr1,10456522,10472529,-,ENSG00000160049.12,protein_coding,DFFA
130,chr1,10472288,10630758,+,ENSG00000142655.13,protein_coding,PEX14
131,chr1,10636604,10796650,-,ENSG00000130940.15,protein_coding,CASZ1
132,chr1,10946471,10982076,-,ENSG00000175262.15,protein_coding,C1orf127
133,chr1,11012344,11030528,+,ENSG00000120948.19,protein_coding,TARDBP
134,chr1,11022009,11047239,-,ENSG00000009724.18,protein_coding,MASP2
135,chr1,11054584,11060020,-,ENSG00000116649.10,protein_coding,SRM
136,chr1,11066618,11099869,-,ENSG00000171824.14,protein_coding,EXOSC10
137,chr1,11106535,11262556,-,ENSG00000198793.14,protein_coding,MTOR
138,chr1,11189355,11195981,+,ENSG00000171819.5,protein_coding,ANGPTL7
139,chr1,11273198,11296049,+,ENSG00000120942.14,protein_coding,UBIAD1
140,chr1,11479155,11537551,+,ENSG00000204624.8,protein_coding,DISP3
141,chr1,11637018,11655785,-,ENSG00000116661.11,protein_coding,FBXO2
142,chr1,11654375,11663327,+,ENSG00000132879.14,protein_coding,FBXO44
143,chr1,11658918,11691811,-,ENSG00000116670.16,protein_coding,MAD2L2
144,chr1,11664200,11674354,+,ENSG00000116663.11,protein_coding,FBXO6
145,chr1,11691710,11725857,+,ENSG00000162490.7,protein_coding,DRAXIN
146,chr1,11736084,11754802,+,ENSG00000177674.16,protein_coding,AGTRAP
147,chr1,11761787,11789585,+,ENSG00000215910.8,protein_coding,C1orf167
148,chr1,11785723,11806455,-,ENSG00000177000.13,protein_coding,MTHFR
149,chr1,11806096,11848079,+,ENSG00000011021.23,protein_coding,CLCN6
150,chr1,11845709,11848345,-,ENSG00000175206.11,protein_coding,NPPA
151,chr1,11857464,11858945,-,ENSG00000120937.9,protein_coding,NPPB
152,chr1,11919591,11926428,-,ENSG00000116685.16,protein_coding,KIAA2013
153,chr1,11934205,11975538,+,ENSG00000083444.17,protein_coding,PLOD1
154,chr1,11980181,12015211,+,ENSG00000116688.18,protein_coding,MFN2
155,chr1,12019466,12032045,+,ENSG00000116691.11,protein_coding,MIIP
156,chr1,12063303,12144207,+,ENSG00000120949.15,protein_coding,TNFRSF8
157,chr1,12166991,12209228,+,ENSG00000028137.19,protein_coding,TNFRSF1B
158,chr1,12230030,12512047,+,ENSG00000048707.15,protein_coding,VPS13D
159,chr1,12567910,12618210,-,ENSG00000162496.9,protein_coding,DHRS3
160,chr1,12644085,12667076,+,ENSG00000204518.3,protein_coding,AADACL4
161,chr1,12716110,12728760,+,ENSG00000188984.12,protein_coding,AADACL3
162,chr1,12746200,12763699,+,ENSG00000157330.10,protein_coding,CFAP107
163,chr1,12773738,12777906,+,ENSG00000116726.5,protein_coding,PRAMEF12
164,chr1,12791397,12796628,+,ENSG00000116721.9,protein_coding,PRAMEF1
165,chr1,12824605,12831410,-,ENSG00000239810.3,protein_coding,PRAMEF11
166,chr1,12847377,12848720,-,ENSG00000179172.10,protein_coding,HNRNPCL1
167,chr1,12857086,12861909,+,ENSG00000120952.4,protein_coding,PRAMEF2
168,chr1,12879212,12886201,-,ENSG00000243073.4,protein_coding,PRAMEF4
169,chr1,12892896,12898270,-,ENSG00000187545.5,protein_coding,PRAMEF10
170,chr1,12916610,12920751,+,ENSG00000204510.6,protein_coding,PRAMEF7
171,chr1,12938472,12947580,-,ENSG00000232423.6,protein_coding,PRAMEF6
172,chr1,13049476,13056575,-,ENSG00000274764.6,protein_coding,PRAMEF27
173,chr1,13060769,13062878,+,ENSG00000277058.3,protein_coding,HNRNPCL3
174,chr1,13068677,13077884,+,ENSG00000229571.7,protein_coding,PRAMEF25
175,chr1,13115488,13116854,-,ENSG00000275774.3,protein_coding,HNRNPCL2
176,chr1,13148905,13158116,-,ENSG00000280267.6,protein_coding,PRAMEF26
177,chr1,13163914,13165631,-,ENSG00000179412.11,protein_coding,HNRNPCL4
178,chr1,13171848,13179459,+,ENSG00000204505.5,protein_coding,PRAMEF9
179,chr1,13196188,13201409,-,ENSG00000279169.3,protein_coding,PRAMEF13
180,chr1,13222695,13226154,-,ENSG00000279804.3,protein_coding,PRAMEF18
181,chr1,13254198,13263435,+,ENSG00000270601.5,protein_coding,PRAMEF5
182,chr1,13281304,13285137,-,ENSG00000182330.11,protein_coding,PRAMEF8
183,chr1,13303539,13308907,+,ENSG00000237700.2,protein_coding,PRAMEF33
184,chr1,13315581,13322598,+,ENSG00000204501.7,protein_coding,PRAMEF15
185,chr1,13341892,13347134,-,ENSG00000204481.8,protein_coding,PRAMEF14
186,chr1,13368431,13371947,-,ENSG00000204480.9,protein_coding,PRAMEF19
187,chr1,13389632,13392629,+,ENSG00000204479.4,protein_coding,PRAMEF17
188,chr1,13410450,13421328,+,ENSG00000204478.11,protein_coding,PRAMEF20
189,chr1,13474973,13514003,-,ENSG00000162494.6,protein_coding,LRRC38
190,chr1,13583465,13617957,+,ENSG00000162493.17,protein_coding,PDPN
191,chr1,13700188,13825079,+,ENSG00000116731.23,protein_coding,PRDM2
192,chr1,13892792,15118043,+,ENSG00000189337.17,protein_coding,KAZN
193,chr1,15152532,15220478,+,ENSG00000171729.14,protein_coding,TMEM51
194,chr1,15236521,15400283,+,ENSG00000142621.21,protein_coding,FHAD1
195,chr1,15409888,15430339,+,ENSG00000142634.13,protein_coding,EFHD2
196,chr1,15438442,15449242,+,ENSG00000162438.12,protein_coding,CTRC
197,chr1,15456728,15472091,+,ENSG00000142615.8,protein_coding,CELA2A
198,chr1,15465909,15491395,+,ENSG00000215704.10,protein_coding,CELA2B
199,chr1,15490832,15526534,-,ENSG00000132906.18,protein_coding,CASP9
200,chr1,15526813,15592379,+,ENSG00000116138.13,protein_coding,DNAJC16
201,chr1,15571699,15585051,-,ENSG00000116771.6,protein_coding,AGMAT
202,chr1,15617458,15669044,+,ENSG00000197312.12,protein_coding,DDI2
203,chr1,15659713,15662033,+,ENSG00000215695.2,protein_coding,RSC1A1
204,chr1,15684320,15734769,+,ENSG00000116786.13,protein_coding,PLEKHM2
205,chr1,15736258,15741392,+,ENSG00000162461.8,protein_coding,SLC25A34
206,chr1,15742499,15747982,+,ENSG00000162460.7,protein_coding,TMEM82
207,chr1,15756607,15786594,+,ENSG00000162458.13,protein_coding,FBLIM1
208,chr1,15807169,15809348,-,ENSG00000233954.7,protein_coding,UQCRHL
209,chr1,15836095,15940456,+,ENSG00000065526.13,protein_coding,SPEN
210,chr1,15941869,15976132,-,ENSG00000116809.12,protein_coding,ZBTB17
211,chr1,16004236,16008807,+,ENSG00000183888.4,protein_coding,SRARP
212,chr1,16014028,16019594,-,ENSG00000173641.18,protein_coding,HSPB7
213,chr1,16018875,16034050,+,ENSG00000186510.12,protein_coding,CLCNKA
214,chr1,16040252,16057311,+,ENSG00000184908.20,protein_coding,CLCNKB
215,chr1,16057769,16073651,-,ENSG00000185519.9,protein_coding,FAM131C
216,chr1,16124337,16156069,-,ENSG00000142627.13,protein_coding,EPHA2
217,chr1,16197854,16212652,-,ENSG00000142632.17,protein_coding,ARHGEF19
218,chr1,16231692,16237183,-,ENSG00000132881.12,protein_coding,CPLANE2
219,chr1,16246840,16352480,-,ENSG00000037637.11,protein_coding,FBXO42
220,chr1,16352575,16398145,+,ENSG00000055070.17,protein_coding,SZRD1
221,chr1,16387117,16437424,-,ENSG00000187144.11,protein_coding,SPATA21
222,chr1,16440721,16460078,+,ENSG00000157191.20,protein_coding,NECAP2
223,chr1,16562319,16613562,-,ENSG00000219481.11,protein_coding,NBPF1
224,chr1,16740273,16972964,+,ENSG00000058453.17,protein_coding,CROCC
225,chr1,16974502,16980632,-,ENSG00000117122.14,protein_coding,MFAP2
226,chr1,16985958,17011928,-,ENSG00000159363.19,protein_coding,ATP13A2
227,chr1,17005068,17011757,-,ENSG00000288636.1,protein_coding,ENSG00000288636
228,chr1,17018722,17054032,-,ENSG00000117118.10,protein_coding,SDHB
229,chr1,17066761,17119451,-,ENSG00000117115.13,protein_coding,PADI2
230,chr1,17205128,17246007,+,ENSG00000142623.11,protein_coding,PADI1
231,chr1,17249098,17284233,+,ENSG00000142619.4,protein_coding,PADI3
232,chr1,17308195,17364004,+,ENSG00000159339.13,protein_coding,PADI4
233,chr1,17372196,17401699,+,ENSG00000276747.1,protein_coding,PADI6
234,chr1,17406760,17439677,-,ENSG00000179051.14,protein_coding,RCC2
235,chr1,17539698,17697874,+,ENSG00000074964.17,protein_coding,ARHGEF10L
236,chr1,17755333,17827063,+,ENSG00000117148.8,protein_coding,ACTL8
237,chr1,18107798,18378483,+,ENSG00000117154.12,protein_coding,IGSF21
238,chr1,18480930,18485974,+,ENSG00000179023.9,protein_coding,KLHDC7A
239,chr1,18630846,18748866,+,ENSG00000009709.12,protein_coding,PAX7
240,chr1,18839599,18859660,-,ENSG00000179002.6,protein_coding,TAS1R2
241,chr1,18871430,18902724,-,ENSG00000159423.17,protein_coding,ALDH4A1
242,chr1,18904280,18956676,-,ENSG00000169991.11,protein_coding,IFFO2
243,chr1,19074510,19210266,-,ENSG00000127481.15,protein_coding,UBR4
244,chr1,19215660,19251552,-,ENSG00000127463.16,protein_coding,EMC1
245,chr1,19251805,19260128,+,ENSG00000053372.5,protein_coding,MRTO4
246,chr1,19265982,19274194,-,ENSG00000211454.16,protein_coding,AKR7L
247,chr1,19282573,19288770,-,ENSG00000162482.5,protein_coding,AKR7A3
248,chr1,19303965,19312144,-,ENSG00000053371.13,protein_coding,AKR7A2
249,chr1,19312326,19329300,+,ENSG00000040487.13,protein_coding,SLC66A1
250,chr1,19338775,19485539,-,ENSG00000077549.19,protein_coding,CAPZB
251,chr1,19484403,19629821,+,ENSG00000173436.15,protein_coding,MICOS10
252,chr1,19596979,19658456,+,ENSG00000158747.15,protein_coding,NBL1
253,chr1,19597067,19656927,+,ENSG00000270136.6,protein_coding,MICOS10-NBL1
254,chr1,19664875,19680966,+,ENSG00000158748.4,protein_coding,HTR6
255,chr1,19682240,19799945,-,ENSG00000162542.14,protein_coding,TMCO4
256,chr1,19814029,19815283,-,ENSG00000178828.7,protein_coding,RNF186
257,chr1,19882395,19912945,+,ENSG00000169914.6,protein_coding,OTUD3
258,chr1,19920009,19923617,-,ENSG00000188784.4,protein_coding,PLA2G2E
259,chr1,19975431,19980416,-,ENSG00000188257.12,protein_coding,PLA2G2A
260,chr1,20028179,20091911,+,ENSG00000127472.11,protein_coding,PLA2G5
261,chr1,20111939,20119566,-,ENSG00000117215.15,protein_coding,PLA2G2D
262,chr1,20139323,20150381,+,ENSG00000158786.5,protein_coding,PLA2G2F
263,chr1,20161253,20186518,-,ENSG00000187980.7,protein_coding,PLA2G2C
264,chr1,20186096,20196050,+,ENSG00000162543.6,protein_coding,UBXN10
265,chr1,20290875,20359518,+,ENSG00000158816.16,protein_coding,VWA5B1
266,chr1,20482391,20486210,-,ENSG00000162545.6,protein_coding,CAMK2N1
267,chr1,20499448,20508151,-,ENSG00000090432.7,protein_coding,MUL1
268,chr1,20552573,20555020,+,ENSG00000183114.8,protein_coding,FAM43B
269,chr1,20589086,20618903,+,ENSG00000158825.6,protein_coding,CDA
270,chr1,20633458,20651511,+,ENSG00000158828.8,protein_coding,PINK1
271,chr1,20651767,20661544,-,ENSG00000244038.11,protein_coding,DDOST
272,chr1,20664014,20718017,-,ENSG00000117245.13,protein_coding,KIF17
273,chr1,20719731,20732837,-,ENSG00000189410.12,protein_coding,SH2D5
274,chr1,20740266,20787323,-,ENSG00000127483.19,protein_coding,HP1BP3
275,chr1,20806292,21177285,-,ENSG00000075151.24,protein_coding,EIF4G3
276,chr1,21217247,21345572,-,ENSG00000117298.16,protein_coding,ECE1
277,chr1,21440128,21485005,+,ENSG00000142794.19,protein_coding,NBPF3
278,chr1,21509397,21578410,+,ENSG00000162551.14,protein_coding,ALPL
279,chr1,21547404,21554002,+,ENSG00000289715.1,protein_coding,ENSG00000289715
280,chr1,21596221,21669357,-,ENSG00000076864.21,protein_coding,RAP1GAP
281,chr1,21678298,21783606,-,ENSG00000090686.16,protein_coding,USP48
282,chr1,21812265,21825225,+,ENSG00000187942.12,protein_coding,LDLRAD2
283,chr1,21822244,21937310,-,ENSG00000142798.20,protein_coding,HSPG2
284,chr1,21977022,21998642,+,ENSG00000219073.8,protein_coding,CELA3B
285,chr1,22001657,22012542,+,ENSG00000142789.20,protein_coding,CELA3A
286,chr1,22025142,22092943,+,ENSG00000289694.1,protein_coding,ENSG00000289694
287,chr1,22052627,22101360,+,ENSG00000070831.18,protein_coding,CDC42
288,chr1,22117313,22143969,-,ENSG00000162552.15,protein_coding,WNT4
289,chr1,22428838,22531157,+,ENSG00000184677.18,protein_coding,ZBTB40
290,chr1,22563489,22603595,+,ENSG00000070886.12,protein_coding,EPHA8
291,chr1,22635077,22639678,+,ENSG00000173372.18,protein_coding,C1QA
292,chr1,22636506,22644067,+,ENSG00000289692.1,protein_coding,ENSG00000289692
293,chr1,22643014,22648110,+,ENSG00000159189.13,protein_coding,C1QC
294,chr1,22652762,22661637,+,ENSG00000173369.18,protein_coding,C1QB
295,chr1,22710839,22921500,+,ENSG00000133216.17,protein_coding,EPHB2
296,chr1,22953043,22972866,-,ENSG00000215906.9,protein_coding,LACTBL1
297,chr1,23010834,23019100,-,ENSG00000227868.7,protein_coding,TEX46
298,chr1,23019443,23083689,+,ENSG00000004487.18,protein_coding,KDM1A
299,chr1,23084030,23177808,-,ENSG00000169641.14,protein_coding,LUZP1
300,chr1,23191895,23217502,-,ENSG00000179546.5,protein_coding,HTR1D
301,chr1,23303771,23344336,-,ENSG00000125944.21,protein_coding,HNRNPR
302,chr1,23359448,23369836,-,ENSG00000125945.15,protein_coding,ZNF436
303,chr1,23380909,23424748,-,ENSG00000204219.11,protein_coding,TCEA3
304,chr1,23428563,23484568,-,ENSG00000088280.20,protein_coding,ASAP3
305,chr1,23506438,23531233,-,ENSG00000007968.7,protein_coding,E2F2
306,chr1,23557926,23559501,-,ENSG00000117318.9,protein_coding,ID3
307,chr1,23691742,23696835,+,ENSG00000142676.14,protein_coding,RPL11
308,chr1,23743448,23762059,+,ENSG00000011007.13,protein_coding,ELOA
309,chr1,23778418,23788232,+,ENSG00000057757.10,protein_coding,PITHD1
310,chr1,23791145,23795539,+,ENSG00000011009.11,protein_coding,LYPLA2
311,chr1,23795599,23800781,-,ENSG00000117308.15,protein_coding,GALE
312,chr1,23801885,23838620,-,ENSG00000117305.15,protein_coding,HMGCL
313,chr1,23845077,23868290,-,ENSG00000179163.12,protein_coding,FUCA1
314,chr1,23870515,23913362,-,ENSG00000188822.8,protein_coding,CNR2
315,chr1,23956839,23963462,+,ENSG00000189266.13,protein_coding,PNRC2
316,chr1,23964347,23980927,-,ENSG00000188529.15,protein_coding,SRSF10
317,chr1,24056035,24112135,-,ENSG00000142661.19,protein_coding,MYOM3
318,chr1,24119771,24143140,-,ENSG00000142677.4,protein_coding,IL22RA1
319,chr1,24154168,24187959,-,ENSG00000185436.12,protein_coding,IFNLR1
320,chr1,24199558,24364482,+,ENSG00000158055.17,protein_coding,GRHL3
321,chr1,24356999,24416934,-,ENSG00000001460.18,protein_coding,STPG1
322,chr1,24415802,24472976,+,ENSG00000001461.17,protein_coding,NIPAL3
323,chr1,24502351,24541040,+,ENSG00000117602.13,protein_coding,RCAN3
324,chr1,24556087,24609328,+,ENSG00000184454.7,protein_coding,NCMAP
325,chr1,24631716,24673281,+,ENSG00000133226.19,protein_coding,SRRM1
326,chr1,24745382,24844321,+,ENSG00000169504.15,protein_coding,CLIC4
327,chr1,24899511,24965121,-,ENSG00000020633.19,protein_coding,RUNX3
328,chr1,25222276,25232502,-,ENSG00000117614.10,protein_coding,SYF2
329,chr1,25242249,25338213,-,ENSG00000117616.18,protein_coding,RSRP1
330,chr1,25272393,25330445,+,ENSG00000187010.21,protein_coding,RHD
331,chr1,25338317,25362361,+,ENSG00000183726.11,protein_coding,TMEM50A
332,chr1,25362249,25430192,-,ENSG00000188672.19,protein_coding,RHCE
333,chr1,25430858,25500209,+,ENSG00000204178.11,protein_coding,MACO1
334,chr1,25543606,25568886,+,ENSG00000157978.12,protein_coding,LDLRAP1
335,chr1,25616791,25786206,+,ENSG00000117643.15,protein_coding,MAN1C1
336,chr1,25800193,25818221,+,ENSG00000162430.18,protein_coding,SELENON
337,chr1,25811470,25823744,+,ENSG00000255054.3,protein_coding,ENSG00000255054
338,chr1,25818640,25832942,+,ENSG00000117640.18,protein_coding,MTFR1L
339,chr1,25831913,25859458,-,ENSG00000127423.11,protein_coding,AUNIP
340,chr1,25861484,25875708,-,ENSG00000182749.6,protein_coding,PAQR7
341,chr1,25884181,25906991,-,ENSG00000117632.23,protein_coding,STMN1
342,chr1,25959767,25998117,-,ENSG00000158006.14,protein_coding,PAFAH2
343,chr1,26019884,26036464,+,ENSG00000158008.10,protein_coding,EXTL1
344,chr1,26037252,26046118,-,ENSG00000158014.15,protein_coding,SLC30A2
345,chr1,26051301,26068436,-,ENSG00000158022.7,protein_coding,TRIM63
346,chr1,26111165,26125555,+,ENSG00000175087.10,protein_coding,PDIK1L
347,chr1,26159079,26163962,+,ENSG00000197245.6,protein_coding,FAM110D
348,chr1,26164101,26168963,-,ENSG00000282872.2,protein_coding,C1orf232
349,chr1,26169516,26171832,-,ENSG00000236782.8,protein_coding,ZNF593OS
350,chr1,26169908,26170873,+,ENSG00000142684.9,protein_coding,ZNF593
351,chr1,26177484,26189884,+,ENSG00000142675.18,protein_coding,CNKSR1
352,chr1,26190561,26202968,+,ENSG00000188782.9,protein_coding,CATSPER4
353,chr1,26234200,26278808,+,ENSG00000130695.16,protein_coding,CEP85
354,chr1,26280086,26281522,+,ENSG00000142669.15,protein_coding,SH3BGRL3
